f694d119-bf58-4449-a811-cb7a2165d8c0,2c527579-8b48-49b4-8383-8c084c046c62,e0215e64-2787-40c4-a8bc-8c26118bae76,fef6e287-8f0d-455b-ba19-7c48c2c583d2,599b0d4c-62d4-48cd-a93c-1dd1fe85abfa,456dadea-0262-488f-8af9-63ca86c8a9f7,49e91d8f-37a3-4b7b-8062-d3ca8f561d01,8b948ed4-41e9-4441-9609-adaf4d3a102e,48bd0e00-be54-47a2-9aed-73c0c863fd39,6f54f9c0-5687-4a07-bf75-b506752b4a52,47761280-913e-4826-b400-f04f85b17476,b1cbc674-f3c1-453d-9cd1-8f4db32286ae
3844,2424,8303,1832,2291,1890,4205,3038,3191,4896,6778,1883
621,667,905,419,329,845,621,462,531,445,858,336
3368,5699,5118,3544,2205,5813,2408,3557,4314,2111,7225,2957
40,87,148,75,37,138,58,53,91,40,148,68
12,60,9,54,19,40,0,23,74,7,153,65
0,0,0,0,0,0,0,0,0,0,0,0
0,11,2,0,3,1,0,0,7,0,3,69
1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0
2029,7102,3243,5456,1702,5640,1361,3302,7652,1681,14137,5257
1,8,1,5,1,8,3,1,2,1,5,2
1344,2657,2415,1672,892,2594,797,1251,2427,878,4914,948
0,0,0,1,0,0,0,0,0,0,0,0
122,29,48,120,12,63,8,19,157,111,279,12
7,6,0,0,0,0,0,2,0,1,0,0
145,655,1082,99,119,25,9719,269,124,527,857,55
521,984,1235,498,418,1300,2372,471,713,1774,1684,600
1411,1072,1852,627,405,1779,1203,987,608,719,928,667
1150,984,1756,809,814,3851,1216,944,1444,2775,1859,647
8,41,8,11,16,123,15,32,38,11,18,12
3773,2730,2965,1523,1568,4727,4214,2123,2299,4339,4038,1287
10,5,0,0,0,54,3,9,0,0,0,0
237,459,156,248,89,1115,227,398,244,75,567,315
945,2544,1160,1294,652,1776,964,1488,1287,746,3269,1796
445,1636,348,649,399,1388,396,644,1150,632,1247,2087
7,13,2,1,2,1,3,0,2,0,3,1
8,20,3,2,2,1,1,0,4,0,8,1
3,6,1,0,2,0,3,0,2,1,3,1
70,177,26,31,43,55,63,27,68,13,109,79
21,36,4,10,16,2,25,1,9,4,28,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,2,0,2,2,0,5,2
0,0,0,0,0,0,0,1,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0
4450,2973,4729,2424,2093,5315,2652,2797,5063,4118,6979,2990
6093,8251,9509,3538,4554,6693,4979,9921,8681,7567,10717,6684
3207,6911,5553,5270,2741,10319,2834,4796,8151,3198,15720,8134
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,4,0,1,0,1,1,0,1,0
1,1,0,0,0,3,0,0,1,1,3,1
1036,655,965,725,434,2053,1695,700,1114,2003,1711,617
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
57,42,7,45,28,29,34,37,65,40,10,462
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1348,1731,220,1186,1187,468,1087,2138,1866,1279,855,6875
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4,9,7,3,4,7,2,14,9,9,11,3
1818,9352,3260,4992,1972,4201,1511,4236,8419,1389,10963,9446
2,1,0,1,0,10,0,1,2,1,8,11
0,0,0,1,1,6,0,1,1,0,1,4
2,2,1,1,0,5,0,0,1,1,1,3
2019,2065,1254,655,1223,10674,1740,1258,1728,3064,2869,6943
1,6,0,2,7,17,0,4,6,1,2,87
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,35
12,7,26,0,0,0,0,0,0,0,0,0
0,1,4,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
21,33,24,40,16,79,38,23,26,20,50,6
